student_id,risk_score,issue,recommended_action
STU2521,80.3,Fee due for 51+ days,Refer to financial aid / scholarship cell. Check eligibility for fee installment plan or government scholarship schemes.
STU2521,80.3,"Weak academic performance (marks: 15.1, backlogs: 2)",Enroll in peer tutoring / remedial classes. Assign faculty mentor for subject-specific support.
STU2521,80.3,"Low family income, no current scholarship",Proactively inform about applicable scholarships and fee-waiver schemes; refer to financial counselor.
STU1098,77.3,Fee due for 45+ days,Refer to financial aid / scholarship cell. Check eligibility for fee installment plan or government scholarship schemes.
STU1098,77.3,"Weak academic performance (marks: 32.0, backlogs: 1)",Enroll in peer tutoring / remedial classes. Assign faculty mentor for subject-specific support.
STU1098,77.3,"Low family income, no current scholarship",Proactively inform about applicable scholarships and fee-waiver schemes; refer to financial counselor.
STU1186,77.1,Fee due for 46+ days,Refer to financial aid / scholarship cell. Check eligibility for fee installment plan or government scholarship schemes.
STU1186,77.1,"Weak academic performance (marks: 34.4, backlogs: 1)",Enroll in peer tutoring / remedial classes. Assign faculty mentor for subject-specific support.
STU1186,77.1,"Low family income, no current scholarship",Proactively inform about applicable scholarships and fee-waiver schemes; refer to financial counselor.
STU1984,77.0,Fee due for 46+ days,Refer to financial aid / scholarship cell. Check eligibility for fee installment plan or government scholarship schemes.
STU1984,77.0,"Weak academic performance (marks: 30.2, backlogs: 2)",Enroll in peer tutoring / remedial classes. Assign faculty mentor for subject-specific support.
STU2282,75.7,Fee due for 47+ days,Refer to financial aid / scholarship cell. Check eligibility for fee installment plan or government scholarship schemes.
STU2282,75.7,"Weak academic performance (marks: 21.3, backlogs: 1)",Enroll in peer tutoring / remedial classes. Assign faculty mentor for subject-specific support.
STU1280,75.1,Fee due for 41+ days,Refer to financial aid / scholarship cell. Check eligibility for fee installment plan or government scholarship schemes.
STU1280,75.1,"Weak academic performance (marks: 28.9, backlogs: 1)",Enroll in peer tutoring / remedial classes. Assign faculty mentor for subject-specific support.
STU1280,75.1,Low assignment submission (40%),Check in on workload/time-management challenges. Consider flexible deadlines or study-skills workshop referral.
STU1550,74.3,Fee due for 51+ days,Refer to financial aid / scholarship cell. Check eligibility for fee installment plan or government scholarship schemes.
STU1550,74.3,"Weak academic performance (marks: 31.5, backlogs: 0)",Enroll in peer tutoring / remedial classes. Assign faculty mentor for subject-specific support.
STU1550,74.3,"Low family income, no current scholarship",Proactively inform about applicable scholarships and fee-waiver schemes; refer to financial counselor.
STU2989,74.3,Fee due for 50+ days,Refer to financial aid / scholarship cell. Check eligibility for fee installment plan or government scholarship schemes.
STU2989,74.3,"Weak academic performance (marks: 46.1, backlogs: 2)",Enroll in peer tutoring / remedial classes. Assign faculty mentor for subject-specific support.
STU1756,74.1,Fee due for 55+ days,Refer to financial aid / scholarship cell. Check eligibility for fee installment plan or government scholarship schemes.
STU1756,74.1,"Weak academic performance (marks: 63.5, backlogs: 3)",Enroll in peer tutoring / remedial classes. Assign faculty mentor for subject-specific support.
STU1756,74.1,"Low family income, no current scholarship",Proactively inform about applicable scholarships and fee-waiver schemes; refer to financial counselor.
STU2088,73.8,Fee due for 44+ days,Refer to financial aid / scholarship cell. Check eligibility for fee installment plan or government scholarship schemes.
STU2088,73.8,"Weak academic performance (marks: 24.9, backlogs: 4)",Enroll in peer tutoring / remedial classes. Assign faculty mentor for subject-specific support.
STU1430,73.5,Fee due for 50+ days,Refer to financial aid / scholarship cell. Check eligibility for fee installment plan or government scholarship schemes.
